"Status","Life.expectancy","Adult.Mortality","Alcohol","BMI","infant.deaths","percentage.expenditure","HIV.AIDS"
0,75,93,1.57,64,1,835.0626827,0.1
0,74.6,152,6.41,32.4,8,789.0772949,0.1
1,81.1,68,11.82,56.6,0,90.58501176,0.1
1,74.8,135,0.01,59.9,2,1.576409172,0.1
0,71.4,192,5.93,2.2,16,27.63810304,0.7
0,56,429,7.38,4.9,52,365.2585722,24
1,81,58,7.67,68.4,0,343.123395,0.1
0,82,65,8.1,66.4,2,102.1902168,0.1
0,57.6,328,6.88,15.9,22,78.47020226,6.2
1,71.6,22,11.29,57.8,0,80.99710054,0.1
0,61.4,29,0.81,43.4,11,103.7277727,1.3
0,68.3,214,2.02,55.1,0,64.39203443,0.1
0,75.2,91,5.63,29,215,91.26749779,0.1
0,74.5,97,4.27,26.5,266,39.22509728,0.1
0,62.9,286,0.62,16.5,6,20.97991915,0.7
1,71.6,24,12.1,58.1,0,76.36187737,0.1
0,68,282,6.39,17.1,18,0.661540371,3.7
0,81.8,67,8.2,65.8,2,9733.228019,0.1
0,59,386,9.3,21,536,105.5910629,5
0,55,282,0.55,19,56,81.8405007,1.7
1,81,76,11.2,59.9,2,7584.078579,0.1
0,56.8,271,0.61,21.3,54,101.8113996,1.5
0,56.2,3,0.01,13,88,16.88735091,0.1
0,62.5,282,0.29,14.9,1,151.9755193,0.1
0,49.8,396,9.66,19.9,549,10.35779424,5.3
0,73.2,133,6.66,51.3,1,18.5314303,0.1
0,65.5,23,1.93,14.9,1300,43.03043312,0.3
0,75.5,127,3.92,52.1,7,41.88087712,0.1
0,74.8,112,1.54,63.7,19,20.75120211,0.1
0,71.2,23,2.83,5.8,2,52.30172215,0.3
0,64.6,239,0.01,19.5,13,9.774676411,0.7
0,69.2,154,0.85,45.3,6,105.6337264,0.1
0,73,135,9.6,53.9,1,503.1115947,0.1
1,74.2,149,7.74,53.6,3,466.7383106,0.1
0,67,19,2.12,17,13,60.18591771,0.3
0,67.2,21,0.32,51.9,30,44.12059646,0.1
0,49.7,411,0.01,22.7,25,54.56033696,0.9
0,59.6,295,6.78,16.5,20,7.409771603,5
1,81.4,55,8.49,69.2,0,409.6000248,0.1
0,84,76,8.2,64.9,0,2528.992935,0.1
0,73,184,2.42,54.7,2,653.6925016,0.2
0,47.8,564,5.53,28.2,3,437.0802438,43.7
0,51.5,491,1.16,17.3,36,7.915071248,14.9
0,73.2,154,3.38,5.2,3,302.7045411,0.1
0,65.4,228,2.93,46.7,7,63.7481117,0.1
0,75.6,11,0.01,6.2,0,648.1331781,0.1
0,71.8,165,3.73,28.6,0,502.3844946,0.1
0,69.4,188,6.64,47.8,0,605.6286892,0.5
0,65.6,215,2.35,43.4,6,37.88466056,0.1
1,78.5,96,13.11,54.9,0,2884.020194,0.1
0,75.5,99,4.25,49.9,0,3.479918859,0.1
0,72,232,17.31,59.9,0,846.9113071,0.1
0,65.9,25,0.55,21.3,44,38.4279083,0.5
0,69.4,242,11.04,58.1,14,184.764931,0.3
0,54.9,41,9.81,14.8,93,50.83901418,8.6
0,54.9,464,6,29.9,28,63.75053034,13.3
1,73.2,152,10.93,62.1,1,661.5144334,0.1
0,74.6,121,6.17,57.8,0,709.1311228,0.1
0,56.8,33,4.16,16.1,23,31.14187566,1.9
1,79.1,86,11.83,57.1,3,5842.374765,0.1
0,52.1,425,1.03,19.3,74,53.9502789,14.1
1,77.8,97,12.14,63.1,0,1884.098811,0.1
0,75,197,3.5,44.2,4,2.092343893,0.4
0,71.2,179,6.02,57,0,1122.972967,0.4
0,73.4,135,0.46,3.7,3,297.5913833,0.1
0,66.8,193,3,16.4,1100,64.6059005,0.2
0,71.5,177,4.38,25.8,0,70.15536981,0.1
0,67.3,191,0.06,19.7,159,72.0159316,0.1
0,46.4,587,5.52,26.7,3,131.0421269,49.9
0,58.1,29,0.22,21.2,28,42.2547904,2
0,66.8,219,4.73,17.8,69,11.69704463,0.1
0,77.8,74,4.6,58,0,364.9752287,0.1
0,73.8,132,7.24,52,1,194.1732658,0.1
0,72.3,172,2.1,18.5,4,17.81424344,0.1
0,75,24,8.48,59,5,415.1627705,0.2
0,81,65,2.47,62.1,1,471.5533294,0.1
0,48.5,559,1.18,16.6,37,4.269511381,19.3
1,78.9,63,11.56,56.3,0,1958.525877,0.1
0,59.9,271,0.01,18.6,64,73.52358168,0.1
0,74.5,114,1.53,62.8,20,1275.877569,0.1
0,73,192,3.61,42.8,4,15.25518816,0.4
0,77,137,0.47,49.1,22,9.469371264,0.1
1,77.7,11,13.33,54.1,0,2813.985285,0.1
0,79.2,97,3.34,57.5,1,2568.237059,0.1
0,74.8,13,1.29,57.4,3,623.2120325,0.1
0,57.6,393,0.01,31.2,2,708.9556648,9.8
0,71.7,142,2.72,47,2,60.55818291,0.1
0,76.8,92,4.61,54.2,0,693.8226461,0.1
0,62.8,254,0.91,17.6,33,71.16601203,0.5
0,62,266,3.72,25,9,60.44658161,1.5
0,53.6,395,5.44,24.4,57,7.562892922,7
0,67.7,189,0.07,21.3,149,10.26341108,0.2
0,73.7,123,0.97,48.5,8,122.6523334,0.1
0,71.6,16,3.63,69.7,0,287.4671305,0.1
0,59.7,285,0.01,23.7,13,4.877350139,1
0,73.6,158,3.03,31.3,0,918.807245,0.1
1,81.7,58,0.01,61.6,1,1491.703605,0.1
1,71.1,174,8.78,52.9,4,375.1740323,0.1
0,65.9,227,0.14,53.8,31,146.7606488,0.1
0,64.7,23,0.87,19.5,29,79.50882493,0.4
0,71.5,165,4.43,47.5,17,404.4205858,0.1
0,59.4,34,1.07,13.9,7,5.064688968,1.6
0,77.3,121,6.9,54.9,1,119.2124275,0.1
0,72.1,129,0.54,55.5,4,259.1572375,0.1
